hk_year,hk_AggressiveAllocation,hk_AsiaFixedIncome,hk_AsiaMoneyMarket,hk_Asiaex-JapanEquity,hk_CautiousAllocation,hk_EuropeEquityLargeCap,hk_GlobalEquityLargeCap,hk_GlobalFixedIncome,hk_GreaterChinaEquity,hk_JapanEquity,hk_KoreaEquity,hk_ModerateAllocation,hk_USEquityLargeCapBlend,cal_AggressiveAllocation,cal_AsiaFixedIncome,cal_AsiaMoneyMarket,cal_Asiaex-JapanEquity,cal_CautiousAllocation,cal_EuropeEquityLargeCap,cal_GlobalEquityLargeCap,cal_GlobalFixedIncome,cal_GreaterChinaEquity,cal_JapanEquity,cal_KoreaEquity,cal_ModerateAllocation,cal_USEquityLargeCapBlend
2001,-0.086029178,0.007616642,0.008734728,-0.07986712,-0.033000866,-0.129399396,-0.132905684,0.000184429,-0.122860636,-0.037155778,-0.084,-0.065483575,-0.163805937,-0.128658067,0.051232276,0.026043026,-0.044182154,-0.049628076,-0.19388205,-0.211517184,0.005109745,-0.179925819,-0.240506533,0.280817042,-0.077196399,-0.189226473
2002,-0.0341691,0.045405375,0.018831975,0.188995776,-0.009258171,-0.068826198,-0.098637449,-0.00583436,-0.086071334,-0.167456685,0.739158521,-0.012592044,-0.044960514,-0.10234873,0.048475508,0.006288308,-0.086567034,0.02633394,-0.214308795,-0.224901469,0.137147702,-0.173003851,-0.147612432,-0.114105329,-0.039589453,-0.254998185
2003,-0.142977833,0.049936724,0.005495112,-0.255579793,0.024855532,-0.308835124,-0.271413138,0.174185202,-0.188965882,-0.270087257,-0.395894302,-0.059378089,-0.270859666,0.278849863,0.005991061,0.002272668,0.426566323,0.159814402,0.288767953,0.283395676,0.102689632,0.446161827,0.373628929,0.217123753,0.213609889,0.246551196
2004,0.383681943,0.011199421,0.001360033,0.608245206,0.193865536,0.459269025,0.417587537,0.092145962,0.569323846,0.750948203,0.516505548,0.277366035,0.311030059,0.129185836,0.013153101,-0.000303858,0.084976638,0.074400899,0.149804422,0.126614704,0.066726462,0.185523965,0.132458738,-0.025348905,0.103684509,0.076978219
2005,0.074280266,-0.030554476,-0.000364558,0.045964133,0.031983791,0.156802006,0.076583675,0.027322716,0.109369433,-0.009193869,-0.021590416,0.054768883,0.041366251,0.099953644,-0.028722951,0.012309332,0.250701387,0.018255943,0.106752602,0.123426111,-0.057396593,0.096106344,0.349985181,0.665249146,0.050592328,0.043084709
2006,0.188421718,-0.000569659,0.019334428,0.340022157,0.060185295,0.237766222,0.220909077,-0.038848514,0.273789825,0.450579142,0.695181121,0.110676252,0.099225269,0.214716649,0.036757057,0.030474425,0.289916817,0.101886986,0.288060534,0.199236933,0.033048289,0.449607935,0.034848122,0.20979986,0.151731389,0.121347387
2007,0.159199391,0.038804942,0.030602933,0.23475241,0.092294326,0.171800684,0.152261107,0.049749399,0.324118808,-0.031883542,0.097914379,0.124466687,0.093361432,0.203586453,0.03634591,0.029982313,0.329028909,0.109934437,0.049955284,0.132356359,0.063669719,0.501846523,-0.104571775,0.484168659,0.153599387,0.039826495
2008,0.06298704,0.071811206,0.027355931,0.105711758,0.080904677,-0.094462491,-0.035785468,0.11112644,0.16290303,-0.219458578,0.329150446,0.080001836,-0.078243914,-0.357747085,0.06961131,0.011179328,-0.494532706,-0.124018897,-0.44960338,-0.425998544,0.020841856,-0.491483494,-0.367386423,-0.51594011,-0.235195366,-0.387719668
2009,-0.330953386,0.022445313,0.006995626,-0.419566865,-0.142492543,-0.456110759,-0.404932668,-0.069353895,-0.369614168,-0.390850758,-0.448058685,-0.235797977,-0.37892593,0.309173811,-0.012971152,0.001043564,0.606147467,0.12312923,0.273896155,0.302733063,0.051035318,0.609192052,0.039487281,0.495638267,0.210970138,0.256529004
2010,0.400700565,0.01742749,0.000949584,0.615748582,0.163469698,0.439819729,0.454299393,0.091381035,0.599109691,0.299735717,0.502763286,0.276076426,0.452200719,0.097264087,0.027760808,0.000217448,0.155798447,0.052833453,0.021694332,0.084829164,0.041935657,0.109979473,0.054223745,0.173559287,0.07755104,0.117625885
2011,0.110819207,0.021574718,0.000126411,0.172646335,0.060478811,0.089926757,0.110201893,0.053579986,0.129733412,-0.053570932,0.2029836,0.087750429,0.128132332,-0.115008558,0.045009482,0.000947034,-0.159032674,-0.021665373,-0.134689963,-0.103670069,0.021086571,-0.210241861,-0.176850936,-0.22512116,-0.061052392,-0.006563431
2012,-0.044790997,0.042854512,0.001687905,-0.06724021,0.005612175,-0.092917729,-0.033188333,0.029060668,-0.137958359,-0.035395972,-0.147390674,-0.011869156,0.048572168,0.148873206,0.036607309,0.0042623,0.189766221,0.073231965,0.18126407,0.161576897,0.046676586,0.208273133,0.09946137,0.108624755,0.109162565,0.116864343
2013,0.077057146,0.026189265,0.004067213,0.074615517,0.038807505,0.110891756,0.097198281,0.015040369,0.089434627,0.116173243,-0.045956923,0.056598395,0.098886934,0.132886612,-0.028320213,0.004871672,0.041202189,0.028282967,0.2636344,0.212746194,-0.024573707,0.062737217,0.327256149,-0.006601729,0.067161331,0.293373789
2014,0.082913739,-0.023685877,0.00190316,0.023704501,0.026474455,0.241359684,0.152960692,0.002356664,0.022471027,0.08788561,-0.025995851,0.047703398,0.189981813,-0.002508865,0.01888092,0.001194373,0.022374223,0.011321201,-0.054044227,0.020867196,0.00405127,0.045203338,-0.01810544,-0.044686407,0.002867284,0.099590183
2015,0.050017426,0.023830862,0.005223884,0.072148653,0.018983658,-0.014191433,0.051312144,-0.020637557,0.158492278,0.1564054,0.175186044,0.02445411,0.099169961,-0.031441196,-0.012995476,-0.003698848,-0.086660341,-0.024287201,0.001416481,-0.029834834,-0.036424061,-0.067068159,0.081141305,0.215434738,-0.028675355,-0.008435244
2016,-0.077613226,0.001438253,-0.001412036,-0.119876197,-0.016501071,-0.09831164,-0.080776484,0.009479808,-0.156421822,-0.101538616,-0.004014446,-0.039113785,-0.018877356,0.012835317,-0.014599656,-0.004200105,0.041440754,0.010724076,0.009255297,0.039019514,-0.001438077,0.008536545,-0.020108804,-0.125346276,0.014061025,0.083114549
2017,0.101484089,-0.017313653,-0.004088836,0.15647806,0.022713412,0.123214107,0.133569,-0.019940277,0.170576481,0.108457946,-0.048985408,0.058485122,0.149546483,0.257425161,0.04980954,0.016109471,0.362237956,0.09360711,0.20402418,0.234844262,0.047621881,0.390035895,0.21577503,0.226901999,0.16820332,0.203629217
2018,0.17504794,0.037669009,0.019366627,0.21176466,0.063622836,0.104505339,0.146591761,0.040284909,0.276116401,0.151899063,0.144755051,0.112958778,0.129030929,-0.120732221,-0.0010786,0.002466504,-0.161343635,-0.037269206,-0.154172132,-0.122092992,-0.017678366,-0.141811872,-0.168858962,-0.247634102,-0.07258394,-0.072855621
2019,-0.037936179,0.01949326,0.002140251,-0.07547506,0.002935339,-0.047488742,-0.016422208,-0.007709791,-0.041608464,-0.084369673,-0.205642468,-0.006754397,0.058668219,0.164310716,0.032449579,0.01061846,0.146197057,0.090377514,0.207503279,0.210629966,0.046247661,0.155606595,0.173719216,-0.068117789,0.140260891,0.273569917
2020,-0.101746733,0.016484165,0.004263168,-0.172983653,0.001898962,-0.17516693,-0.140810601,0.029137875,-0.124654398,-0.116488947,-0.251665152,-0.052585867,-0.100536976,0.167133659,0.066185464,0.017651879,0.242886406,0.095251526,0.030648242,0.134443114,0.072653233,0.169989032,0.080940275,0.304090253,0.129950779,0.181370378
2021,0.414169557,0.037940271,0.016432375,0.619795018,0.128694521,0.438891902,0.503348627,0.02434412,0.39947975,0.400798336,0.639733391,0.281148538,0.549860239,0.024335705,-0.004911238,0.005570706,-0.028287205,0.002649218,0.166119122,0.162278228,-0.049750237,-0.134117114,0.055399571,-0.016483079,0.0521288,0.254293982
2022,-0.073096163,-0.016499142,0.00710768,-0.128193582,-0.038931446,0.023144222,0.036377447,-0.062622416,-0.239006987,-0.050582788,-0.107755107,-0.017774708,0.124346366,-0.177479273,-0.084434028,-0.007182141,-0.212689401,-0.142459081,-0.152569536,-0.204914529,-0.155626149,-0.195021211,-0.127737376,-0.24289701,-0.166057762,-0.220063589
2023,-0.064770514,-0.029906023,0.001254466,-0.117328058,-0.06182779,0.026376464,-0.078354598,-0.075574874,-0.075621251,-0.007690002,-0.138998638,-0.069548757,-0.104513093,0.059040939,0.043920521,0.027420917,0.041620459,0.06093173,0.185150224,0.197901935,0.047027435,-0.128513386,0.22781104,0.166893579,0.103001171,0.251121116
